Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene stable ID
WFDC9	20	44236578	44259907	ENSG00000180205
C21orf91	21	19161284	19191703	ENSG00000154642
MROH1	HG243_PATCH	145202919	145316830	ENSG00000260383
CRTC3	15	91073157	91188577	ENSG00000140577
BOP1	HG243_PATCH	145317005	145346273	ENSG00000261236
ZFYVE19	15	41099284	41106767	ENSG00000166140
CSTF1	20	54967427	54979518	ENSG00000101138
CHODL	21	19273580	19639690	ENSG00000154645
VPRBP	HG186_PATCH	51433298	51537425	ENSG00000260623
SCXA	HG243_PATCH	145321463	145323384	ENSG00000260428
WFDC10A	20	44258165	44259835	ENSG00000180305
CYFIP1	15	22892005	23006016	ENSG00000068793
WFDC11	20	44277202	44298909	ENSG00000180083
WFDC10B	20	44313292	44333658	ENSG00000182931
TMPRSS15	21	19641433	19858197	ENSG00000154646
WFDC13	20	44330655	44337456	ENSG00000168634
SPINT4	20	44350990	44354469	ENSG00000149651
HSF1	HG243_PATCH	145346494	145369625	ENSG00000261132
RAD54L2	HG186_PATCH	51579011	51701025	ENSG00000261443
IDH3B	20	2639041	2644865	ENSG00000101365
KATNAL2	18	44497455	44627658	ENSG00000167216
WFDC3	20	44376583	44420571	ENSG00000124116
CASS4	20	54987168	55034396	ENSG00000087589
NCAM2	21	22370633	22915650	ENSG00000154654
PPP1R14D	15	41107650	41120907	ENSG00000166143
DGAT1	HG243_PATCH	145371194	145381813	ENSG00000261698
FAM227B	15	49619159	49913128	ENSG00000166262
MC5R	18	13824154	13826861	ENSG00000176136
MC2R	18	13882043	13915706	ENSG00000185231
LACTB	15	63413999	63434260	ENSG00000103642
BLM	15	91260558	91358859	ENSG00000197299
MRPL39	21	26957968	26979829	ENSG00000154719
SCRT1	HG243_PATCH	145387965	145391184	ENSG00000261678
ZNF519	18	14057456	14132489	ENSG00000175322
CTSZ	20	57570240	57582302	ENSG00000101160
TMEM249	HG243_PATCH	145407122	145410512	ENSG00000261587
RTFDC1	20	55043647	55093943	ENSG00000022277
SPINT1	15	41136216	41150405	ENSG00000166145
EBF4	20	2673524	2740753	ENSG00000088881
TUBB1	20	57594309	57601709	ENSG00000101162
FGF7	15	49715293	49780972	ENSG00000140285
POTEC	18	14507338	14543584	ENSG00000183206
DNTTIP1	20	44420576	44440066	ENSG00000101457
TCEB3CL2	18	44542731	44544607	ENSG00000266996
JAM2	21	27011584	27089874	ENSG00000154721
SLC52A2	HG243_PATCH	145409038	145416175	ENSG00000261042
ATP5E	20	57600522	57607437	ENSG00000124172
TCEB3CL	18	44548658	44550534	ENSG00000234298
RPS27L	15	63418071	63450220	ENSG00000185088
TCEB3C	18	44554573	44556449	ENSG00000183791
TCEB3B	18	44558943	44561988	ENSG00000206181
FOXD4	9	116237	118417	ENSG00000170122
RAB8B	15	63481668	63559981	ENSG00000166128
UBE2C	20	44441215	44445596	ENSG00000175063
GCNT7	20	55066548	55100981	ENSG00000124091
SLMO2	20	57608200	57617964	ENSG00000101166
FBXL6	HG243_PATCH	145410334	145414279	ENSG00000261539
HDHD2	18	44633774	44676891	ENSG00000167220
ATP5J	21	27088815	27107984	ENSG00000154723
ZBTB26	9	125677845	125693779	ENSG00000171448
FAM209A	20	55092243	55101198	ENSG00000124103
DTWD1	15	49913177	49937333	ENSG00000104047
CPXM1	20	2774715	2781283	ENSG00000088882
FAM209B	20	55108302	55111576	ENSG00000213714
RHOV	15	41164412	41166487	ENSG00000104140
FURIN	15	91411822	91426688	ENSG00000140564
NIPA2	15	23004684	23034427	ENSG00000140157
ADCK5	HG243_PATCH	145428004	145448145	ENSG00000261694
GABPA	21	27106881	27144771	ENSG00000154727
TFAP2C	20	55204358	55214339	ENSG00000087510
ZNF831	20	57766075	57834168	ENSG00000124203
TNNC2	20	44451853	44462384	ENSG00000101470
VPS18	15	41186628	41196173	ENSG00000104142
APH1B	15	63568217	63601325	ENSG00000138613
RABGAP1	9	125703112	125867145	ENSG00000011454
IER3IP1	18	44681413	44702745	ENSG00000134049
EDN3	20	57875482	57901047	ENSG00000124205
DLL4	15	41221538	41231237	ENSG00000128917
TMEM239	20	2795614	2800930	ENSG00000198326
TMEM239	20	2795614	2798712	ENSG00000241690
ANKRD30B	18	14728271	14852737	ENSG00000180777
BMP7	20	55743804	55841685	ENSG00000101144
SKOR2	18	44746293	44775554	ENSG00000215474
C20orf141	20	2795633	2796479	ENSG00000258713
CPSF1	HG243_PATCH	145448132	145464191	ENSG00000261230
GPR21	9	125796806	125797975	ENSG00000188394
CBWD1	9	121041	188979	ENSG00000172785
PCED1A	20	2815960	2821836	ENSG00000132635
SMAD2	18	45357922	45457515	ENSG00000175387
ATP8B4	15	50150435	50475014	ENSG00000104043
STRBP	9	125871779	126030855	ENSG00000165209
SLC39A4	HG243_PATCH	145464645	145471798	ENSG00000261297
FES	15	91426925	91439006	ENSG00000182511
NIPA1	15	23043277	23100005	ENSG00000170113
SPO11	20	55904815	55919050	ENSG00000054796
CA12	15	63613577	63674360	ENSG00000074410
PHACTR3	20	58152564	58422766	ENSG00000087495
C9orf66	9	213108	215893	ENSG00000183784
ROCK1	18	18526867	18691812	ENSG00000067900
CHAC1	15	41245160	41248710	ENSG00000128965
VPS28	HG243_PATCH	145478520	145483451	ENSG00000260313
SNX21	20	44462449	44471914	ENSG00000124104
TONSL	HG243_PATCH	145483685	145499347	ENSG00000260716
CRB2	9	126118449	126142603	ENSG00000148204
RAE1	20	55926066	55954267	ENSG00000101146
VPS16	20	2821349	2847378	ENSG00000215305
GOLGA8I	15	23255242	23268823	ENSG00000153666
IQSEC3	HG858_PATCH	116765	228460	ENSG00000261772
APP	21	27252861	27543446	ENSG00000142192
ACOT8	20	44470360	44486045	ENSG00000101473
INO80	15	41271078	41408552	ENSG00000128908
SLC27A2	15	50474393	50528592	ENSG00000140284
TUBA3C	13	19747910	19755992	ENSG00000198033
RP11-408E5.4	13	19756173	19761496	ENSG00000121388
MTRNR2L3	20	55933496	55934878	ENSG00000256222
RBM38	20	55966463	55984389	ENSG00000132819
DOCK8	9	214854	465259	ENSG00000107099
DENND1A	9	126141933	126692431	ENSG00000119522
GREB1L	18	18822203	19105378	ENSG00000141449
CYYR1	21	27838528	27945603	ENSG00000166265
SYCP2	20	58438618	58508710	ENSG00000196074
HDC	15	50534144	50558223	ENSG00000140287
TPTE2	13	19997017	20110903	ENSG00000132958
USP3	15	63796793	63886839	ENSG00000140455
ZBTB7C	18	45553044	45937123	ENSG00000184828
ADAMTS1	21	28208066	28217728	ENSG00000154734
LHX2	9	126763949	126795580	ENSG00000106689
RP11-467N20.5	15	23405069	23414193	ENSG00000259455
ADAMTS5	21	28290231	28338832	ENSG00000154736
GOLGA8S	15	23599895	23612378	ENSG00000261739
MPHOSPH8	13	20207788	20247599	ENSG00000196199
PRRC2A	HSCHR6_MHC_SSTO	31578395	31595492	ENSG00000231825
EXD1	15	41474923	41522941	ENSG00000178997
N6AMT1	21	30244513	30257693	ENSG00000156239
MAN2A2	15	91445448	91465814	ENSG00000196547
KANK1	9	470291	746105	ENSG00000107104
PSPC1	13	20248896	20357142	ENSG00000121390
GOLGA6L2	15	23684645	23692381	ENSG00000174450
AC091150.1	18	45778672	45779208	ENSG00000268960
AL354808.2	13	20268547	20269240	ENSG00000269591
NEK6	9	127019885	127115586	ENSG00000119408
DMRT1	9	841690	969090	ENSG00000137090
GABPB1	15	50569389	50647605	ENSG00000104064
MKRN3	15	23810454	23873064	ENSG00000179455
CTIF	18	46065417	46389588	ENSG00000134030
DMRT3	9	976964	991731	ENSG00000064218
ZMYM5	13	20397622	20437776	ENSG00000132950
IGLL1	22	23915312	23922495	ENSG00000128322
LTN1	21	30300466	30365270	ENSG00000198862
MAGEL2	15	23888691	23891175	ENSG00000254585
NDN	15	23930565	23932450	ENSG00000182636
ZSWIM3	20	44486256	44507761	ENSG00000132801
PSMB7	9	127115745	127177723	ENSG00000136930
NPAP1	15	24920541	24928593	ENSG00000185823
DMRT2	9	1050354	1057552	ENSG00000173253
ZSWIM1	20	44509866	44513905	ENSG00000168612
CTCFL	20	56071035	56100708	ENSG00000124092
CHP1	15	41523037	41574043	ENSG00000187446
HYAL2	HG325_PATCH	50355222	50360338	ENSG00000261921
SERINC2	HG989_PATCH	31882412	31907525	ENSG00000260384
SPATA25	20	44515128	44516274	ENSG00000149634
NEURL2	20	44517264	44519926	ENSG00000124257
C5orf30	HG1063_PATCH	102594406	102614364	ENSG00000261887
GPR144	9	127213423	127239379	ENSG00000180264
AC011043.1	GL000195.1	43717	74342	ENSG00000215781
OIP5	15	41601466	41624819	ENSG00000104147
C22orf43	22	23950639	23974508	ENSG00000189269
RWDD2B	21	30376705	30391699	ENSG00000156253
LSM14A	HSCHR19_1_CTG3_1	34663352	34720227	ENSG00000262860
NR5A1	9	127243516	127269709	ENSG00000136931
SMAD7	18	46446223	46477081	ENSG00000101665
FAM217B	20	58508819	58523735	ENSG00000196227
PTPRA	20	2844830	3019722	ENSG00000132670
TUSC2	HG325_PATCH	50357459	50365683	ENSG00000262485
PPP1R3D	20	58511894	58515352	ENSG00000132825
BRD2	HSCHR6_MHC_MCF	32969905	32980956	ENSG00000236227
SNRPN	15	25068794	25223870	ENSG00000128739
MYOM2	HG19_PATCH	1993155	2113475	ENSG00000260130
NR6A1	9	127279554	127533589	ENSG00000148200
CDH26	20	58533471	58609066	ENSG00000124215
RGL4	22	24030323	24041363	ENSG00000159496
CTSA	20	44518783	44527459	ENSG00000064601
OLFML2A	9	127539437	127577164	ENSG00000185585
USP16	21	30396950	30426809	ENSG00000156256
ESCO1	18	19109242	19180845	ENSG00000141446
RBFOX3	HG748_PATCH	77085427	77512230	ENSG00000267483
ZMYM2	13	20532810	20665968	ENSG00000121741
NUSAP1	15	41624892	41673248	ENSG00000137804
FBXL22	15	63889552	63894627	ENSG00000197361
WDR38	9	127615755	127620160	ENSG00000136918
ENPP7	HG748_PATCH	77727001	77738304	ENSG00000261981
SMARCA2	9	2015342	2193624	ENSG00000080503
RPL35	9	127620159	127624260	ENSG00000136942
HLA-DOA	HSCHR6_MHC_MCF	33005421	33010855	ENSG00000230141
RASSF1	HG325_PATCH	50367220	50378412	ENSG00000263005
CBX2	HG748_PATCH	77774214	77784065	ENSG00000262762
ARPC5L	9	127624409	127640003	ENSG00000136950
C20orf197	20	58630980	58648008	ENSG00000176659
CBX8	HG748_PATCH	77788214	77797765	ENSG00000262572
ZNF70	22	24083769	24093279	ENSG00000187792
SNRPD1	18	19192228	19210417	ENSG00000167088
VPREB3	22	24094930	24096655	ENSG00000128218
USP8	15	50716577	50793280	ENSG00000138592
CDH4	20	59827482	60515673	ENSG00000179242
ZNF716	HG14_PATCH	57517884	57541253	ENSG00000260355
GOLGA1	9	127640646	127710771	ENSG00000136935
C22orf15	22	24105208	24108048	ENSG00000169314
PPP1R3B	8	8993765	9009084	ENSG00000173281
ASIC5	HSCHR4_1_CTG12	156750881	156787425	ENSG00000262505
HERC1	15	63900817	64126141	ENSG00000103657
RP11-10A14.4	8	9009252	9025646	ENSG00000253426
ABHD3	18	19230858	19284766	ENSG00000158201
TDO2	HSCHR4_1_CTG12	156775890	156841558	ENSG00000262635
HLA-DPA1	HSCHR6_MHC_MCF	33065822	33082016	ENSG00000168384
CHCHD10	22	24108021	24110630	ENSG00000250479
PCK1	20	56136136	56141513	ENSG00000124253
GJA3	13	20712394	20735188	ENSG00000121743
CTSO	HSCHR4_1_CTG12	156845270	156875063	ENSG00000263238
DYM	18	46570039	46987717	ENSG00000141627
GJB2	13	20761609	20767037	ENSG00000165474
UNC45A	15	91473410	91497323	ENSG00000140553
PIN4	X	71401203	71522776	ENSG00000102309
MMP11	22	24110413	24126503	ENSG00000099953
RP11-429E11.3	20	60292562	60294804	ENSG00000179253
PDE3B	HG873_PATCH	14665269	14892350	ENSG00000261923
GJB6	13	20796110	20806534	ENSG00000121742
SCAI	9	127704887	127905785	ENSG00000173611
CCT8	21	30428126	30446118	ENSG00000156261
AP000349.1	22	24124467	24126145	ENSG00000267954
SNURF	15	25200133	25223729	ENSG00000273173
TNKS	8	9413424	9639856	ENSG00000173273
TAF4	20	60528525	60640866	ENSG00000130699
VLDLR	9	2621834	2660053	ENSG00000147852
ERCC6L	X	71424510	71458897	ENSG00000186871
BAHCC1	HG271_PATCH	79369275	79440126	ENSG00000266074
CRYL1	13	20977806	21099996	ENSG00000165475
DAPK2	15	64199235	64364232	ENSG00000035664
NDUFAF1	15	41679551	41694717	ENSG00000137806
HLA-DPB1	HSCHR6_MHC_MCF	33077161	33088426	ENSG00000230763
SMARCB1	22	24129150	24176703	ENSG00000099956
RPS4X	X	71475529	71497150	ENSG00000198034
C18orf32	18	47008028	47013622	ENSG00000177576
CYP2R1	HG873_PATCH	14899553	14913798	ENSG00000262968
GNRH2	20	3024268	3026393	ENSG00000125787
PPP6C	9	127908852	127952218	ENSG00000119414
RTF1	15	41700606	41775761	ENSG00000137815
BAG6	HSCHR6_MHC_SSTO	31596744	31610423	ENSG00000233348
MIB1	18	19284918	19450918	ENSG00000101752
ZBP1	20	56178902	56195632	ENSG00000124256
FAM96A	15	64364758	64386217	ENSG00000166797
DERL3	22	24176690	24181315	ENSG00000099958
KCNV2	9	2717502	2730037	ENSG00000168263
RPL17-C18orf32	18	47008051	47017956	ENSG00000215472
MRPS26	20	3026591	3028900	ENSG00000125901
OXT	20	3052266	3053163	ENSG00000101405
LSM14B	20	60697517	60710434	ENSG00000149657
USP50	15	50792759	50838905	ENSG00000170236
AVP	20	3063202	3065370	ENSG00000101200
RABEPK	9	127962821	127996437	ENSG00000136933
PPAPDC1B	8	38120648	38126761	ENSG00000147535
ACTG1	HG271_PATCH	79483771	79497647	ENSG00000267807
SLC35A2	X	48760459	48769235	ENSG00000102100
KIAA0020	9	2720469	2844241	ENSG00000080608
IFT88	13	21140585	21265503	ENSG00000032742
CR759795.1	HSCHR6_MHC_MCF	33078411	33080790	ENSG00000257637
HSPA5	9	127997132	128003609	ENSG00000044574
MAP3K7CL	21	30449792	30548210	ENSG00000156265
PMEPA1	20	56223448	56286592	ENSG00000124225
MSRA	8	9911778	10286401	ENSG00000175806
IL17D	13	21276266	21297237	ENSG00000172458
SNX1	15	64386322	64438289	ENSG00000028528
SLC2A11	22	24198890	24228496	ENSG00000133460
TRPM7	15	50844670	50979012	ENSG00000092439
TAPT1	4	16162128	16229033	ENSG00000169762
N6AMT2	13	21302870	21348097	ENSG00000150456
RPL17	18	47014851	47018906	ENSG00000265681
PIM2	X	48770459	48776301	ENSG00000102096
PSMA7	20	60711791	60718496	ENSG00000101182
UBE3A	15	25582381	25684128	ENSG00000114062
C8orf59	8	86126311	86132650	ENSG00000176731
BACH1	21	30566392	31003071	ENSG00000156273
C20orf85	20	56725960	56736206	ENSG00000124237
RFX3	9	3218297	3526004	ENSG00000080298
PLTP	20	44527399	44540794	ENSG00000100979
ITPKA	15	41785591	41795747	ENSG00000137825
ANKRD60	20	56793551	56803709	ENSG00000124227
XPO4	13	21351469	21477187	ENSG00000132953
RP11-595B24.2	18	19668021	19678741	ENSG00000263588
NKRF	X	118722300	118739858	ENSG00000186416
UBOX5	20	3088219	3140842	ENSG00000185019
AL365202.1	9	3452305	3469181	ENSG00000203286
OTUD5	X	48779305	48815648	ENSG00000068308
AGO2	8	141541264	141645718	ENSG00000123908
AP000350.10	22	24204375	24237410	ENSG00000251357
CYHR1	8	145674965	145691060	ENSG00000187954
CITED1	X	71521488	71527037	ENSG00000125931
MIF	22	24236191	24237414	ENSG00000240972
GATA6	18	19749404	19782491	ENSG00000141448
FASTKD5	20	3127165	3140543	ENSG00000215251
AP000350.4	22	24236613	24241117	ENSG00000218537
PPP4R1L	20	56806188	56884495	ENSG00000124224
LTK	15	41795836	41806085	ENSG00000062524
GSTT2B	22	24299601	24303373	ENSG00000133433
LZTS3	20	3143263	3154192	ENSG00000088899
CTAGE1	18	19993564	19997878	ENSG00000212710
GLIS3	9	3824127	4348392	ENSG00000107249
CALCA	HG873_PATCH	14988217	14993851	ENSG00000262933
LATS2	13	21547171	21635686	ENSG00000150457
DDTL	22	24309089	24314721	ENSG00000099974
PRSS55	8	10383056	10411676	ENSG00000184647
DDRGK1	20	3170996	3185331	ENSG00000198171
DDT	22	24313554	24322660	ENSG00000099977
SS18L1	20	60718822	60757540	ENSG00000184402
SAP18	13	21714653	21723221	ENSG00000150459
GC	4	72607410	72669758	ENSG00000145321
AC145212.1	GL000194.1	53590	56132	ENSG00000215750
RP1L1	8	10463859	10569697	ENSG00000183638
BX072566.2	GL000213.1	68442	70280	ENSG00000269725
BX072566.1	GL000213.1	108007	139339	ENSG00000237375
GSTT2	22	24322339	24326106	ENSG00000099984
C8orf74	8	10530147	10558103	ENSG00000171060
GRIK1	21	30909254	31312351	ENSG00000171189
ITPA	20	3189514	3204516	ENSG00000125877
GAPVD1	9	128024073	128129486	ENSG00000165219
LIPG	18	47087069	47119272	ENSG00000101670
SKA3	13	21727734	21750741	ENSG00000165480
SOX7	8	10581278	10697357	ENSG00000171056
SLC1A1	9	4490444	4587469	ENSG00000106688
RAB33B	4	140374386	140397763	ENSG00000172007
GSTT1	22	24376133	24384680	ENSG00000184674
SOX7	8	10582909	10697357	ENSG00000258724
RBBP8	18	20378224	20606451	ENSG00000101773
SPPL2A	15	50999506	51058005	ENSG00000138600
HDDC3	15	91474148	91475799	ENSG00000184508
RAB22A	20	56884752	56942563	ENSG00000124209
APOM	HSCHR6_MHC_SSTO	31610134	31615927	ENSG00000235754
WHSC1L1	8	38127215	38239790	ENSG00000147548
SNX22	15	64443914	64449680	ENSG00000157734
GRIK1-AS2	21	30968360	31003067	ENSG00000183653
CA13	8	86132816	86196302	ENSG00000185015
CLDN17	21	31538241	31538971	ENSG00000156282
MRP63	13	21750784	21753223	ENSG00000173141
PINX1	8	10622473	10697394	ENSG00000254093
CLDN8	21	31586324	31588391	ENSG00000156284
KRTAP24-1	21	31653629	31655276	ENSG00000188694
KIFC2	8	145691426	145699585	ENSG00000167702
KRTAP25-1	21	31661463	31661832	ENSG00000232263
RCCD1	15	91498100	91506349	ENSG00000166965
KRTAP26-1	21	31691452	31692607	ENSG00000197683
PPIB	15	64448011	64455404	ENSG00000166794
KRTAP27-1	21	31709331	31710012	ENSG00000206107
KRTAP23-1	21	31720717	31720924	ENSG00000186980
KRTAP13-2	21	31743709	31744557	ENSG00000182816
SETD7	4	140417095	140527853	ENSG00000145391
C6orf47	HSCHR6_MHC_SSTO	31616015	31618489	ENSG00000226103
KRTAP13-1	21	31768392	31769136	ENSG00000198390
KRTAP13-3	21	31797583	31798286	ENSG00000240432
XKR6	8	10753555	11058875	ENSG00000171044
KRTAP13-4	21	31802572	31803216	ENSG00000186971
KRTAP15-1	21	31812597	31813070	ENSG00000186970
TMEM154	4	153539784	153601317	ENSG00000170006
ZDHHC20	13	21950263	22033509	ENSG00000180776
KRTAP19-1	21	31852018	31852663	ENSG00000184351
KRTAP19-2	21	31859362	31859755	ENSG00000186965
RPAP1	15	41809374	41836467	ENSG00000103932
VAPB	20	56964178	57026157	ENSG00000124164
KRTAP19-3	21	31863782	31864275	ENSG00000244025
KRTAP19-4	21	31869142	31869451	ENSG00000186967
MTG2	20	60758085	60778624	ENSG00000101181
KRTAP19-5	21	31873975	31874435	ENSG00000186977
KCND1	X	48818639	48827976	ENSG00000102057
KRTAP19-6	21	31913854	31914183	ENSG00000186925
KRTAP19-7	21	31933194	31933633	ENSG00000244362
KRTAP22-2	21	31962424	31962716	ENSG00000206106
GPANK1	HSCHR6_MHC_SSTO	31618946	31624007	ENSG00000228605
TIGD4	4	153690506	153700916	ENSG00000169989
KRTAP6-3	21	31964759	31965394	ENSG00000212938
SPATA6L	9	4553386	4666674	ENSG00000106686
AF131215.5	8	10983980	10987745	ENSG00000215346
KRTAP6-2	21	31970909	31971219	ENSG00000186930
TBCK	4	106962756	107242652	ENSG00000145348
KRTAP22-1	21	31973414	31973612	ENSG00000186924
XRCC6BP1	HSCHR12_1_CTG2_1	58335324	58351052	ENSG00000262145
KRTAP6-1	21	31985750	31986249	ENSG00000184724
CABIN1	22	24407642	24574596	ENSG00000099991
KRTAP20-1	21	31988750	31989003	ENSG00000244624
KRTAP20-4	21	31992946	31993169	ENSG00000206105
SLC4A11	20	3208063	3219836	ENSG00000088836
KRTAP20-2	21	32007555	32007938	ENSG00000184032
KRTAP20-3	21	32015183	32015455	ENSG00000206104
KRTAP21-3	21	32090843	32091095	ENSG00000231068
ATP10A	15	25922420	26110317	ENSG00000206190
MTMR9	8	11141925	11185646	ENSG00000104643
KRTAP21-2	21	32119112	32119551	ENSG00000187026
MICU2	13	22066836	22178353	ENSG00000165487
KRTAP21-1	21	32127439	32127746	ENSG00000187005
KRTAP8-1	21	32185016	32185570	ENSG00000183640
ADAD1	4	123300121	123350957	ENSG00000164113
KRTAP11-1	21	32252966	32253874	ENSG00000182591
KRTAP19-8	21	32410478	32410795	ENSG00000206102
PRC1	15	91509270	91538859	ENSG00000198901
LPHN3	HSCHR4_2_CTG9	62066976	62959961	ENSG00000262515
SEPT6	X	118749687	118827333	ENSG00000125354
ARFIP1	4	153701089	153839615	ENSG00000164144
POU4F2	4	147560045	147563626	ENSG00000151615
COL11A2	HSCHR6_MHC_MCF	33300827	33330643	ENSG00000235708
PPAPDC2	9	4662298	4665256	ENSG00000205808
ACAA2	18	47309869	47340330	ENSG00000167315
APCDD1L	20	57034157	57090187	ENSG00000198768
FREM3	4	144498455	144621828	ENSG00000183090
FGF9	13	22245522	22278637	ENSG00000102678
MGST2	4	140586922	140661899	ENSG00000085871
PLCXD1	X	192989	220023	ENSG00000182378
CDC37L1	9	4679559	4708398	ENSG00000106993
SUSD2	22	24577227	24585078	ENSG00000099994
KRTAP9-2	HSCHR17_6_CTG4	39382879	39383883	ENSG00000262573
LDB2	4	16503164	16900432	ENSG00000169744
KRTAP9-4	HSCHR17_6_CTG4	39394569	39395535	ENSG00000262896
CSNK1G1	15	64457716	64648442	ENSG00000169118
TIAM1	21	32490734	32932290	ENSG00000156299
KRTAP9-9	HSCHR17_6_CTG4	39400266	39401246	ENSG00000262594
AP4E1	15	51200869	51298097	ENSG00000081014
SGCG	13	23755091	23899304	ENSG00000102683
HRH3	20	60790026	60795323	ENSG00000101180
KRTAP9-6	HSCHR17_6_CTG4	39410221	39411523	ENSG00000263263
MGC4294	20	57209828	57210772	ENSG00000268941
KRTAP9-7	HSCHR17_6_CTG4	39420541	39421579	ENSG00000262221
MAPKAP1	9	128199672	128469513	ENSG00000119487
KRTAP29-1	HSCHR17_6_CTG4	39446708	39447733	ENSG00000262542
TTC29	4	147627790	147867034	ENSG00000137473
GTPBP6	X	220025	230886	ENSG00000178605
GRIA2	4	158125334	158287227	ENSG00000120251
AK3	9	4711155	4742043	ENSG00000147853
MAML3	4	140637907	141075338	ENSG00000196782
ATP6V1G3	HSCHR1_3_CTG31	198503840	198521562	ENSG00000263014
CSNK2B	HSCHR6_MHC_SSTO	31622960	31631270	ENSG00000224774
FOXH1	8	145698795	145701718	ENSG00000160973
GYPE	4	144792020	144826716	ENSG00000197465
CYP2W1	7	1022835	1029276	ENSG00000073067
RP11-219B4.5	8	86134675	86157946	ENSG00000258256
RP11-219B4.6	8	86158524	86162077	ENSG00000257962
PPP2R3B	X	294698	347690	ENSG00000167393
CTD-2116N17.1	15	64472547	64665980	ENSG00000259316
GABRB3	15	26788693	27184686	ENSG00000166206
TNFAIP8L3	15	51348795	51397473	ENSG00000183578
GRIPAP1	X	48830134	48858675	ENSG00000068400
MYO5B	18	47349183	47721463	ENSG00000167306
GGT5	22	24615622	24641110	ENSG00000099998
RPS18	HSCHR6_MHC_QBL	33168626	33173129	ENSG00000096150
